Category,Rating,Rating Count,Installs,Free,Price,Minimum Android,Content Rating,Ad Supported,In App Purchases,Editors Choice,Name Length,Size in MB,App Age,Last Update Age
Education,4.1,37.0,17553.0,True,0.0,2,Everyone,True,False,False,9.0,4.7,1655.0,1614.0
Entertainment,2.5,45.0,12933.0,True,0.0,5,Everyone,True,False,False,50.0,52.0,864.0,679.0
Simulation,4.6,47586.0,2287321.0,True,0.0,4,Everyone,True,True,False,39.0,34.0,1821.0,26.0
Entertainment,4.8,5.0,2634.0,True,0.0,4,Everyone,True,False,False,33.0,8.0,1106.0,1106.0
Puzzle,5.0,11.0,45.0,True,0.0,4,Everyone,True,False,False,6.0,2.1,1174.0,1174.0
Tools,3.8,203.0,46697.0,True,0.0,5,Everyone,True,False,False,23.0,3.2,3405.0,69.0
Books & Reference,4.8,16.0,4062.0,True,0.0,4,Everyone,True,False,False,27.0,9.6,1323.0,312.0
Education,5.0,6.0,229.0,True,0.0,4,Everyone,False,False,False,13.0,37.0,869.0,4.0
Trivia,3.9,707.0,118772.0,True,0.0,2,Everyone,True,False,False,21.0,2.7,2429.0,2204.0
Education,2.6,23.0,5847.0,True,0.0,4,Everyone,False,False,False,7.0,6.7,1854.0,1496.0
Entertainment,4.2,5.0,2625.0,True,0.0,4,Everyone,True,False,False,16.0,13.0,1308.0,1308.0
Personalization,4.4,14.0,3111.0,True,0.0,4,Everyone,True,False,False,37.0,6.2,1873.0,293.0
Photography,4.3,12.0,4492.0,True,0.0,4,Everyone,True,False,False,28.0,8.0,1716.0,25.0
News & Magazines,4.3,38.0,7857.0,True,0.0,5,Everyone,True,False,False,20.0,15.0,1120.0,303.0
Education,4.0,875.0,116406.0,True,0.0,4,Everyone,True,False,False,32.0,35.0,1106.0,371.0
Tools,4.0,20.0,12709.0,True,0.0,5,Everyone,True,False,False,13.0,13.0,70.0,4.0
Tools,3.4,222.0,12860.0,True,0.0,3,Everyone,True,False,False,17.0,2.5,1742.0,1742.0
Entertainment,3.7,86.0,7167.0,True,0.0,5,Teen,True,False,False,43.0,18.0,141.0,141.0
Tools,2.8,1163.0,259750.0,True,0.0,2,Everyone,False,False,False,16.0,2.7,2989.0,2725.0
Auto & Vehicles,4.0,29.0,1274.0,True,0.0,8,Everyone,False,False,False,49.0,11.0,334.0,63.0
Tools,3.8,29.0,16232.0,True,0.0,4,Everyone,True,False,False,30.0,2.0,2427.0,262.0
Business,3.7,35.0,20046.0,True,0.0,7,Everyone,False,False,False,22.0,18.0,2143.0,82.0
Education,4.7,135.0,5725.0,True,0.0,5,Everyone,True,False,False,49.0,13.0,304.0,67.0
Tools,4.2,78.0,12919.0,True,0.0,5,Everyone,True,False,False,49.0,6.4,402.0,380.0
Shopping,4.5,349.0,28753.0,True,0.0,5,Everyone,False,False,False,4.0,64.0,1421.0,58.0
Shopping,2.6,51.0,5890.0,True,0.0,5,Everyone,True,False,False,13.0,47.0,431.0,409.0
Personalization,3.8,322.0,93860.0,True,0.0,5,Everyone,True,False,False,45.0,5.7,475.0,433.0
Entertainment,4.0,12.0,4453.0,True,0.0,4,Teen,True,False,False,21.0,11.0,111.0,27.0
Personalization,3.7,53.0,3966.0,True,0.0,4,Everyone,False,False,False,31.0,1.7,941.0,941.0
Libraries & Demo,2.7,161.0,20068.0,True,0.0,5,Everyone,False,False,False,13.0,64.0,1671.0,55.0
Travel & Local,4.7,55.0,10288.0,True,0.0,4,Everyone,False,False,False,18.0,25.0,1100.0,283.0
Education,4.0,306.0,122483.0,True,0.0,4,Everyone,True,False,False,30.0,4.9,971.0,244.0
Business,4.3,6.0,495.0,True,0.0,4,Everyone,False,False,False,12.0,13.0,1203.0,34.0
Maps & Navigation,3.4,5.0,898.0,True,0.0,2,Everyone,False,False,False,15.0,10.0,1678.0,1673.0
Books & Reference,4.3,64.0,31794.0,True,0.0,5,Everyone,True,True,False,35.0,11.0,525.0,70.0
Casual,4.4,9.0,1007.0,True,0.0,4,Everyone,True,False,False,38.0,6.9,1219.0,845.0
Entertainment,3.2,18.0,48878.0,True,0.0,5,Everyone,False,False,False,8.0,24.0,1135.0,99.0
Books & Reference,4.9,42.0,5361.0,True,0.0,4,Everyone,False,False,False,29.0,0.48828125,2508.0,198.0
Arcade,4.9,14.0,130.0,True,0.0,4,Everyone,True,False,False,31.0,37.0,71.0,31.0
Education,4.6,9.0,746.0,True,0.0,4,Everyone,True,False,False,21.0,13.0,32.0,1.0
